CMDLINE C:\Users\Sourour\AppData\Local\Programs\Python\Python311\python.exe Scraper(Motory)[SD]{Modified}.py
MEM 107.660156 1707396867.3502
MEM 107.660156 1707396867.4508
MEM 107.660156 1707396867.5512
MEM 107.660156 1707396867.6517
MEM 107.660156 1707396867.7528
MEM 107.660156 1707396867.8531
MEM 107.660156 1707396867.9533
MEM 107.660156 1707396868.0539
MEM 107.660156 1707396868.1545
MEM 107.660156 1707396868.2549
MEM 107.660156 1707396868.3552
MEM 107.660156 1707396868.4557
MEM 107.660156 1707396868.5559
MEM 107.660156 1707396868.6564
MEM 107.675781 1707396868.7571
MEM 107.679688 1707396868.8575
MEM 107.679688 1707396868.9578
MEM 109.207031 1707396869.0579
MEM 109.187500 1707396869.1583
MEM 109.187500 1707396869.2589
MEM 109.187500 1707396869.3592
MEM 109.187500 1707396869.4598
MEM 109.195312 1707396869.5602
MEM 110.546875 1707396869.6606
MEM 110.597656 1707396869.7607
MEM 108.605469 1707396869.8611
MEM 108.605469 1707396869.9616
MEM 108.605469 1707396870.0619
MEM 108.605469 1707396870.1621
MEM 108.605469 1707396870.2623
MEM 108.605469 1707396870.3627
MEM 108.609375 1707396870.4630
MEM 107.476562 1707396870.5636
MEM 107.476562 1707396870.6640
MEM 107.476562 1707396870.7646
MEM 107.476562 1707396870.8648
MEM 107.476562 1707396870.9653
MEM 107.476562 1707396871.0656
MEM 107.476562 1707396871.1662
MEM 107.476562 1707396871.2664
MEM 107.476562 1707396871.3667
MEM 107.421875 1707396871.4672
MEM 107.421875 1707396871.5675
MEM 107.421875 1707396871.6678
MEM 107.421875 1707396871.7682
MEM 107.421875 1707396871.8687
MEM 107.421875 1707396871.9690
MEM 107.421875 1707396872.0692
MEM 107.421875 1707396872.1698
MEM 107.421875 1707396872.2700
MEM 107.421875 1707396872.3704
MEM 107.421875 1707396872.4709
MEM 107.421875 1707396872.5715
MEM 107.421875 1707396872.6717
MEM 107.421875 1707396872.7723
MEM 107.421875 1707396872.8731
MEM 107.421875 1707396872.9734
MEM 107.421875 1707396873.0741
MEM 107.421875 1707396873.1745
MEM 107.421875 1707396873.2747
MEM 107.421875 1707396873.3753
MEM 107.421875 1707396873.4756
MEM 107.421875 1707396873.5758
MEM 107.421875 1707396873.6759
MEM 107.421875 1707396873.7765
MEM 107.421875 1707396873.8767
MEM 107.421875 1707396873.9771
MEM 107.421875 1707396874.0776
MEM 107.421875 1707396874.1778
MEM 107.421875 1707396874.2784
MEM 107.421875 1707396874.3788
MEM 107.421875 1707396874.4789
MEM 107.421875 1707396874.5794
MEM 107.421875 1707396874.6798
MEM 107.421875 1707396874.7801
MEM 107.421875 1707396874.8805
MEM 107.421875 1707396874.9811
MEM 107.421875 1707396875.0818
MEM 107.421875 1707396875.1820
MEM 107.421875 1707396875.2825
MEM 107.421875 1707396875.3831
MEM 107.421875 1707396875.4838
MEM 107.421875 1707396875.5841
MEM 107.421875 1707396875.6844
MEM 107.421875 1707396875.7849
MEM 107.421875 1707396875.8856
MEM 107.421875 1707396875.9858
MEM 107.421875 1707396876.0864
MEM 107.421875 1707396876.1869
MEM 107.421875 1707396876.2872
MEM 107.421875 1707396876.3878
MEM 107.421875 1707396876.4881
MEM 107.421875 1707396876.5887
MEM 107.421875 1707396876.6893
MEM 107.421875 1707396876.7901
MEM 107.421875 1707396876.8902
MEM 107.421875 1707396876.9906
MEM 107.421875 1707396877.0909
MEM 107.421875 1707396877.1912
MEM 107.421875 1707396877.2916
MEM 107.421875 1707396877.3919
MEM 107.421875 1707396877.4922
MEM 107.421875 1707396877.5924
MEM 107.421875 1707396877.6929
MEM 107.421875 1707396877.7932
